entity_id;domain;device;friendly_name;state;unit;device_class;state_class;area;integration;last_changed
update.home_assistant_supervisor_update;update;Home Assistant Supervisor;Home Assistant Supervisor Update;off;;;;None;Home Assistant;2026-07-24 06:28:40.075819+00:00
update.home_assistant_core_update;update;Home Assistant Core;Home Assistant Core Update;off;;;;None;Home Assistant;2026-07-24 06:28:40.075908+00:00
update.home_assistant_operating_system_update;update;Home Assistant Operating System;Home Assistant Operating System Update;off;;;;None;Home Assistant;2026-07-24 06:28:40.075970+00:00
update.matter_server_update;update;Matter Server;Matter Server Update;off;;;;None;Official apps;2026-07-24 06:28:40.076040+00:00
update.terminal_ssh_update;update;Terminal & SSH;Terminal & SSH Update;off;;;;None;Official apps;2026-07-24 06:28:40.076087+00:00
update.file_editor_update;update;File editor;File editor Update;off;;;;None;Official apps;2026-07-24 06:28:40.076129+00:00
update.tailscale_update;update;Tailscale;Tailscale Update;off;;;;None;Home Assistant Community Apps;2026-07-24 06:28:40.076168+00:00
conversation.home_assistant;conversation;None;Home Assistant;2026-07-21T12:06:39.990379+00:00;;;;None;None;2026-07-24 06:28:40.121792+00:00
event.backup_automatic_backup;event;Backup;Backup Automatic backup;2026-07-23T03:17:12.138+00:00;;;;None;Home Assistant;2026-07-24 06:28:40.152506+00:00
sensor.backup_backup_manager_state;sensor;Backup;Backup Backup Manager state;idle;;enum;;None;Home Assistant;2026-07-24 06:28:40.152688+00:00
sensor.backup_next_scheduled_automatic_backup;sensor;Backup;Backup Next scheduled automatic backup;2026-07-25T03:41:12+00:00;;timestamp;;None;Home Assistant;2026-07-24 06:28:40.152757+00:00
sensor.backup_last_successful_automatic_backup;sensor;Backup;Backup Last successful automatic backup;2026-07-23T03:17:12+00:00;;timestamp;;None;Home Assistant;2026-07-24 06:28:40.152810+00:00
sensor.backup_last_attempted_automatic_backup;sensor;Backup;Backup Last attempted automatic backup;2026-07-23T03:17:11+00:00;;timestamp;;None;Home Assistant;2026-07-24 06:28:40.152858+00:00
zone.home;zone;None;Santuario;1;;;;None;None;2026-07-24 06:28:40.258073+00:00
script.export_entities_csv;script;None;Export entités CSV complet;on;;;;None;None;2026-07-24 08:03:03.269139+00:00
person.ha_admin;person;None;Santuario;home;;;;None;None;2026-07-24 06:28:40.258033+00:00
automation.export_entites_quotidien;automation;None;Export entités quotidien;on;;;;None;None;2026-07-24 06:28:40.986552+00:00
sun.sun;sun;None;Sun;above_horizon;;;;None;None;2026-07-24 06:28:41.176990+00:00
sensor.sun_next_dawn;sensor;Sun;Sun Next dawn;2026-07-25T03:35:19+00:00;;timestamp;;None;None;2026-07-24 06:28:41.177255+00:00
